vive_data|last_cmd
[-1.58665361e-01 -9.20666444e-01 -1.96434410e+00  1.78374598e+02  1.55077446e+02 -8.95385836e+01]|CAL:1
[  -0.87061116   -0.89612228   -1.25626061  177.77701919 -171.33659566  -90.08052302]|CAL:2
[  -0.22021216   -0.92611718   -0.53059622 -179.6153622   128.60708287  -92.05375968]|CAL:3
[  0.14391931   0.2365807    0.09771107   2.57510549 -75.07746406  92.9417388 ]|TURN:610
[  0.22737381   0.28302422   0.09755247   3.42404631 -74.59566855  93.78278866]|MOVE:900.186645080008
[  0.22610464   0.28592728   0.09655383   1.09229968 -56.51553409  91.23876538]|TURN:210
[  0.32610465   0.29896729   0.09760198   1.38771443 -55.55549413  91.8819669 ]|MOVE:900.186645080008
[ 3.27979394e-01  2.94884784e-01  9.81976863e-02  1.33921633e+02 -9.11386819e+01 -1.34976986e+02]|TURN:-408
[ 4.02386075e-01  3.62836989e-01  1.01285206e-01  1.37678196e+02 -9.14954696e+01 -1.30852229e+02]|MOVE:900.186645080008
[ 4.72895404e-01  4.33407900e-01  1.01661106e-01  1.33529546e+02 -9.11790779e+01 -1.34710349e+02]|MOVE:900.186645080008
[ 5.43016850e-01  5.03849386e-01  1.01604192e-01  1.31431354e+02 -9.10858320e+01 -1.36766685e+02]|MOVE:900.186645080008
[ 6.12688595e-01  5.74741950e-01  1.01850941e-01  1.30523312e+02 -9.09980289e+01 -1.38035505e+02]|MOVE:900.186645080008
[ 6.12035571e-01  5.76566864e-01  1.01065519e-01  1.40741940e+01 -8.55098833e+01  1.05420924e+02]|TURN:72
[  0.69226757   0.63639707   0.10325473  10.50380161 -84.48810439 102.2413888 ]|MOVE:900.186645080008
[  0.77358261   0.69469397   0.10676338   8.44686377 -84.21209367 100.03472885]|MOVE:900.186645080008
[ 7.74361373e-01  6.93982916e-01  1.07124368e-01  1.18162111e+02 -9.05558111e+01 -1.50192232e+02]|TURN:-79
[ 8.46292024e-01  7.60823042e-01  1.10606336e-01  1.40525306e+02 -9.10224315e+01 -1.28192734e+02]|MOVE:900.186645080008
[ 9.18628748e-01  8.30141925e-01  1.12777833e-01  1.24664863e+02 -9.08376639e+01 -1.43985612e+02]|MOVE:900.186645080008
[ 9.92779748e-01  8.94796255e-01  1.18050405e-01  1.37505813e+02 -9.12162469e+01 -1.30979344e+02]|MOVE:900.186645080008
[ 1.00297398e+00  9.02077160e-01  1.15964902e-01  1.76742925e+02  9.99635622e+01 -8.81361853e+01]|TURN:2216
[ 9.19716324e-01  8.46820724e-01  1.15677725e-01  1.77063981e+02  1.00554044e+02 -8.84033088e+01]|MOVE:900.186645080008
