vive_data|last_cmd
[-0.47715267 -1.16390108 -1.38988065 -1.78035508 75.14252784 91.05709594]|CAL:1
[ 0.15667864 -1.17963516 -0.61662992  0.98975528 51.20147348 89.24277691]|CAL:2
[  0.96221845  -1.19266602  -1.21223768   1.27546423 -58.88540172  92.01131724]|CAL:3
[ 1.50577974e-01 -1.08751147e+00 -1.25004430e+00  1.77609740e+02 -1.29401898e+02 -9.12616915e+01]|MOVE:800
[   0.21871062   -1.08972262   -1.30938587  177.18772181 -129.21184797  -90.43198326]|MOVE:800
[   0.21850834   -1.09031937   -1.31163787  177.94749274 -159.11762122  -88.99913101]|TURN:-400
[   0.25005529   -1.09027907   -1.39654648  177.96361141 -161.20464867  -89.76758869]|MOVE:800
[   0.27864506   -1.09070361   -1.48251402  178.00523553 -163.23389213  -90.03700868]|MOVE:800
[  0.27838911  -1.09008975  -1.48688052 178.58659326 167.25845086 -89.91778136]|TURN:-400
[  0.25895849  -1.08805585  -1.58258562 178.01047376 165.88385112 -90.14066504]|MOVE:800
[  0.23693838  -1.08083199  -1.67712431 178.14722263 165.50629225 -89.61350818]|MOVE:800
[  0.23629558  -1.0802686   -1.68031747 178.16054267 135.4420911 -88.65336928]|TURN:-400
[ 1.74911274e-01 -1.08125358e+00 -1.74694786e+00  1.78911757e+02  1.34193417e+02 -8.98277916e+01]|MOVE:800
[ 1.11522754e-01 -1.08044366e+00 -1.81687977e+00  1.78826075e+02  1.33572310e+02 -8.96103441e+01]|MOVE:800
[ 1.09796872e-01 -1.08202800e+00 -1.81923474e+00  1.78012186e+02  1.02342052e+02 -8.83191641e+01]|TURN:-400
[ 2.19493674e-02 -1.08076648e+00 -1.84779694e+00  1.77761870e+02  1.01100930e+02 -8.80826915e+01]|MOVE:800
[-6.76374145e-02 -1.07873923e+00 -1.87641964e+00  1.77609968e+02  1.00387710e+02 -8.81465906e+01]|MOVE:800
[-7.02946797e-02 -1.07932732e+00 -1.88007615e+00  2.45154456e-01  6.94192429e+01  8.96116901e+01]|TURN:-400
[-1.56638688e-01 -1.07613147e+00 -1.86326296e+00  5.62622161e-02  6.80015540e+01  8.96736622e+01]|MOVE:800
[-0.24193167 -1.0724427  -1.84494698  0.69524945 66.91803325 88.86927123]|MOVE:800
[-0.2431402  -1.07190272 -1.85110419  0.13893446 36.84073978 89.65666028]|TURN:-400
[-0.30087712 -1.07042331 -1.79513726  0.31471748 36.37897621 90.36118432]|MOVE:800
[-3.54673487e-01 -1.06915473e+00 -1.73872142e+00 -9.01089945e-02  3.47804765e+01  9.11581043e+01]|MOVE:800
[-0.35612502 -1.06853321 -1.74573276  0.48418474  4.98308544 90.41114978]|TURN:-400
[-0.37138911 -1.07041916 -1.66689318  0.4128187   4.36847771 91.18156622]|MOVE:800
[-0.38568017 -1.07171504 -1.58901404  0.52876414  3.626112   91.17568034]|MOVE:800
[ -0.38852856  -1.07103497  -1.59419314   0.8362581  -25.88672802  91.39380511]|TURN:-400
[ -0.34972981  -1.07241293  -1.50673974   0.17812352 -25.99988106  91.55693231]|MOVE:1000
[ -0.3514706   -1.07271978  -1.50854963   0.46988053 -39.9513052  91.91883455]|TURN:-200
[ -0.2912744   -1.07194945  -1.43854598   0.64838446 -38.45639385  93.31666454]|MOVE:1000
[ -0.23159364  -1.07336764  -1.36223298   0.20591025 -38.39071342  91.28161841]|MOVE:1000
[ -0.17616414  -1.07833622  -1.27945751   0.9736605  -37.90169493  91.20651096]|MOVE:1000
[-1.77195193e-01 -1.07646513e+00 -1.29178506e+00  1.77604478e+02 -1.30834708e+02 -9.02189849e+01]|TURN:-1280
[-9.22597550e-02 -1.07340693e+00 -1.37045377e+00  1.78225724e+02 -1.30550669e+02 -8.98460140e+01]|MOVE:1000
[-8.06616927e-03 -1.07554265e+00 -1.44190569e+00  1.77953732e+02 -1.30559844e+02 -9.04123124e+01]|MOVE:1000
[ 7.43230447e-02 -1.07866337e+00 -1.51292549e+00  1.77348933e+02 -1.30442364e+02 -9.02494944e+01]|MOVE:1000
[ 7.64124461e-02 -1.07922280e+00 -1.52275348e+00  1.78204695e+02  1.36607777e+02 -8.88185698e+01]|TURN:-1280
[ 1.66758251e-03 -1.07663794e+00 -1.61231821e+00  1.78280151e+02  1.34428871e+02 -8.92369623e+01]|MOVE:1000
[-7.58525521e-02 -1.07759089e+00 -1.69617327e+00  1.78271696e+02  1.33409630e+02 -8.96365900e+01]|MOVE:1000
[-1.54003865e-01 -1.07886598e+00 -1.78001696e+00  1.77894475e+02  1.33346872e+02 -8.87579201e+01]|MOVE:1000
[-0.15569925 -1.0757499  -1.80049207 -0.29271879 33.90101547 90.14677504]|TURN:-1280
[-0.22483256 -1.07118534 -1.73103822  0.4063575  34.11600163 90.10139443]|MOVE:1000
[-2.92257482e-01 -1.07014970e+00 -1.65703655e+00 -4.83066166e-02  3.36729312e+01  9.12252031e+01]|MOVE:1000
[-0.35905445 -1.06938205 -1.58357599 -0.13848607 32.97673799 91.0705547 ]|MOVE:1000
[ -0.36736484  -1.07016948  -1.59675734   2.25119884 -62.82199583  93.29697683]|TURN:-1280
[ -0.27756191  -1.07740564  -1.54342119   2.56554133 -63.22826046  93.81785758]|MOVE:1000
[ -0.18507547  -1.08086743  -1.49601424   1.5641481  -64.12752959  92.48316181]|MOVE:1000
[-9.10118766e-02 -1.08057975e+00 -1.45464600e+00  2.83865434e+00 -6.46371556e+01  9.34680287e+01]|MOVE:1000
[-8.98349926e-02 -1.07796603e+00 -1.46708237e+00  1.78755539e+02 -1.59146995e+02 -9.00309187e+01]|TURN:-1280
[-4.66903683e-02 -1.07774436e+00 -1.57073655e+00  1.77641621e+02 -1.59832709e+02 -9.11213392e+01]|MOVE:1000
[-7.66677712e-03 -1.07748486e+00 -1.67933123e+00  1.77668066e+02 -1.60296540e+02 -9.01970886e+01]|MOVE:1000
[ 2.76508862e-02 -1.07902081e+00 -1.78318523e+00  1.77999738e+02 -1.61350615e+02 -9.03224783e+01]|MOVE:1000
[ 2.63414254e-02 -1.07998214e+00 -1.79212054e+00  1.78015965e+02  1.01575973e+02 -8.86231976e+01]|TURN:-1280
[-8.60061295e-02 -1.07825367e+00 -1.82756199e+00  1.76725122e+02  1.00248427e+02 -8.71100021e+01]|MOVE:1000
[ -0.19179282  -1.06572516  -1.87224561 178.41690825  98.46154265 -88.52807787]|MOVE:1000
[ -0.30286481  -1.06885636  -1.89583969 177.50657226  95.57525007 -87.34470216]|MOVE:1000
[-0.30862763 -1.06890324 -1.91244754  0.62140986 -0.44042431 90.59735507]|TURN:-1280
[-0.32007931 -1.06991786 -1.81465261  1.02364709 -0.14618955 90.80424363]|MOVE:1000
[-0.32999797 -1.07184972 -1.71612718  0.43650258  0.37014743 90.82954503]|MOVE:1000
[-0.34139276 -1.07325317 -1.6171059   0.72257066  1.07610539 91.14168705]|MOVE:1000
[  -0.34483114   -1.06495917   -1.6376892   159.81108403  -95.05353461 -109.41508953]|TURN:-1280
[  -0.23270627   -1.05180434   -1.66824629  155.00584729  -95.71341518 -114.25568642]|MOVE:1000
[-1.23668144e-01 -1.03959175e+00 -1.69821591e+00  1.53909467e+02 -9.62218296e+01 -1.15624970e+02]|MOVE:1000
[-2.41561143e-02 -1.05086322e+00 -1.69743526e+00  1.55523245e+02 -9.58315925e+01 -1.12797791e+02]|MOVE:1000
[-2.74994159e-02 -1.06335117e+00 -1.68552703e+00  1.78627684e+02  1.69209367e+02 -9.09352673e+01]|TURN:-1280
[-4.70538940e-02 -1.06617631e+00 -1.79339156e+00  1.79016426e+02  1.68654679e+02 -9.04212621e+01]|MOVE:1000
[-6.77644543e-02 -1.06803932e+00 -1.90541885e+00  1.79077650e+02  1.68943583e+02 -8.98056279e+01]|MOVE:1000
[-8.87948319e-02 -1.06998265e+00 -2.01544731e+00  1.78764644e+02  1.69321675e+02 -9.05343071e+01]|MOVE:1000
[-0.09352151 -1.07715971 -2.02045281 -1.49310726 71.33231609 91.56446559]|TURN:-1280
[-0.2031775  -1.07316171 -2.00289941 -3.67268396 70.92314867 95.90801237]|MOVE:1000
[  -0.22534693   -1.06801928   -2.03014741  174.13480081 -100.52286501  -95.10941922]|TURN:2500
[-1.22326811e-01 -1.07019339e+00 -2.04869394e+00  1.73723065e+02 -9.88202822e+01 -9.53567576e+01]|MOVE:1000
[-1.01091851e-01 -1.07111304e+00 -2.05201292e+00  1.73331568e+02 -9.86566281e+01 -9.57719324e+01]|MOVE:200
[-8.00203159e-02 -1.07170719e+00 -2.05514202e+00  1.71154849e+02 -9.82237371e+01 -9.78534423e+01]|MOVE:200
[-7.70232238e-02 -1.06317228e+00 -2.06784363e+00  1.85321008e+01 -8.51865102e+01  1.11501400e+02]|TURN:200
[-5.46275232e-02 -1.04862525e+00 -2.07857401e+00  2.42179417e+01 -8.45322268e+01  1.17409901e+02]|MOVE:200
[-3.28393888e-02 -1.03919083e+00 -2.08499751e+00  2.38848037e+01 -8.41526589e+01  1.16859575e+02]|MOVE:200
[-3.38957798e-02 -1.04237117e+00 -2.08153608e+00  6.02512864e+00 -6.91087001e+01  9.76904919e+01]|TURN:200
[-1.92066332e-02 -1.05114735e+00 -2.06662576e+00  5.89747104e+00 -6.88040088e+01  9.78244323e+01]|MOVE:200
[-2.33599929e-03 -1.05746225e+00 -2.05345533e+00  5.17907067e+00 -6.85855200e+01  9.72157140e+01]|MOVE:200
